"Counting","SA2 (UR)","INCP Total Personal Income (weekly)","Count"
"Persons Place of Usual Residence","Hunters Hill - Woolwich","$150-$299 ($7,800-$15,599)",340
"Persons Place of Usual Residence","Hunters Hill - Woolwich","$300-$399 ($15,600-$20,799)",378
"Persons Place of Usual Residence","Hunters Hill - Woolwich","$400-$499 ($20,800-$25,999)",394
"Persons Place of Usual Residence","Hunters Hill - Woolwich","$500-$649 ($26,000-$33,799)",445
"Persons Place of Usual Residence","Hunters Hill - Woolwich","$650-$799 ($33,800-$41,599)",361
"Persons Place of Usual Residence","Hunters Hill - Woolwich","$800-$999 ($41,600-$51,999)",416
"Persons Place of Usual Residence","Hunters Hill - Woolwich","$1,000-$1,249 ($52,000-$64,999)",501
"Persons Place of Usual Residence","Hunters Hill - Woolwich","$1,250-$1,499 ($65,000-$77,999)",404
"Persons Place of Usual Residence","Hunters Hill - Woolwich","$1,500-$1,749 ($78,000-$90,999)",412
"Persons Place of Usual Residence","Hunters Hill - Woolwich","$1,750-$1,999 ($91,000-$103,999)",321
"Persons Place of Usual Residence","Hunters Hill - Woolwich","$2,000-$2,999 ($104,000-$155,999)",646
"Persons Place of Usual Residence","Hunters Hill - Woolwich","$3,000 or more ($156,000 or more)",1356
"Persons Place of Usual Residence","Hunters Hill - Woolwich","Not stated",911
"Persons Place of Usual Residence","Hunters Hill - Woolwich","Not applicable",2015
"Persons Place of Usual Residence","Hunters Hill - Woolwich","Total",10341
"Persons Place of Usual Residence","Macquarie Park - Marsfield","Negative income",115
"Persons Place of Usual Residence","Macquarie Park - Marsfield","Nil income",3369
"Persons Place of Usual Residence","Macquarie Park - Marsfield","$1-$149 ($1-$7,799)",802
"Persons Place of Usual Residence","Macquarie Park - Marsfield","$150-$299 ($7,800-$15,599)",1152
"Persons Place of Usual Residence","Macquarie Park - Marsfield","$300-$399 ($15,600-$20,799)",1091
"Persons Place of Usual Residence","Macquarie Park - Marsfield","$400-$499 ($20,800-$25,999)",1197
"Persons Place of Usual Residence","Macquarie Park - Marsfield","$500-$649 ($26,000-$33,799)",1130
"Persons Place of Usual Residence","Macquarie Park - Marsfield","$650-$799 ($33,800-$41,599)",1024
"Persons Place of Usual Residence","Macquarie Park - Marsfield","$800-$999 ($41,600-$51,999)",1199
"Persons Place of Usual Residence","Macquarie Park - Marsfield","$1,000-$1,249 ($52,000-$64,999)",1560
"Persons Place of Usual Residence","Macquarie Park - Marsfield","$1,250-$1,499 ($65,000-$77,999)",1181
"Persons Place of Usual Residence","Macquarie Park - Marsfield","$1,500-$1,749 ($78,000-$90,999)",1109
"Persons Place of Usual Residence","Macquarie Park - Marsfield","$1,750-$1,999 ($91,000-$103,999)",795
"Persons Place of Usual Residence","Macquarie Park - Marsfield","$2,000-$2,999 ($104,000-$155,999)",1367
"Persons Place of Usual Residence","Macquarie Park - Marsfield","$3,000 or more ($156,000 or more)",461
"Persons Place of Usual Residence","Macquarie Park - Marsfield","Not stated",1406
"Persons Place of Usual Residence","Macquarie Park - Marsfield","Not applicable",2775
"Persons Place of Usual Residence","Macquarie Park - Marsfield","Total",21728
"Persons Place of Usual Residence","North Ryde - East Ryde","Negative income",42
"Persons Place of Usual Residence","North Ryde - East Ryde","Nil income",1085
"Persons Place of Usual Residence","North Ryde - East Ryde","$1-$149 ($1-$7,799)",444
"Persons Place of Usual Residence","North Ryde - East Ryde","$150-$299 ($7,800-$15,599)",633
"Persons Place of Usual Residence","North Ryde - East Ryde","$300-$399 ($15,600-$20,799)",762
"Persons Place of Usual Residence","North Ryde - East Ryde","$400-$499 ($20,800-$25,999)",822
"Persons Place of Usual Residence","North Ryde - East Ryde","$500-$649 ($26,000-$33,799)",642
"Persons Place of Usual Residence","North Ryde - East Ryde","$650-$799 ($33,800-$41,599)",625
"Persons Place of Usual Residence","North Ryde - East Ryde","$800-$999 ($41,600-$51,999)",694
"Persons Place of Usual Residence","North Ryde - East Ryde","$1,000-$1,249 ($52,000-$64,999)",813
"Persons Place of Usual Residence","North Ryde - East Ryde","$1,250-$1,499 ($65,000-$77,999)",559
"Persons Place of Usual Residence","North Ryde - East Ryde","$1,500-$1,749 ($78,000-$90,999)",524
"Persons Place of Usual Residence","North Ryde - East Ryde","$1,750-$1,999 ($91,000-$103,999)",467
"Persons Place of Usual Residence","North Ryde - East Ryde","$2,000-$2,999 ($104,000-$155,999)",816
"Persons Place of Usual Residence","North Ryde - East Ryde","$3,000 or more ($156,000 or more)",616
"Persons Place of Usual Residence","North Ryde - East Ryde","Not stated",516
"Persons Place of Usual Residence","North Ryde - East Ryde","Not applicable",2246
"Persons Place of Usual Residence","North Ryde - East Ryde","Total",12311
"Persons Place of Usual Residence","West Ryde - Meadowbank","Negative income",75
"Persons Place of Usual Residence","West Ryde - Meadowbank","Nil income",2086
"Persons Place of Usual Residence","West Ryde - Meadowbank","$1-$149 ($1-$7,799)",619
"Persons Place of Usual Residence","West Ryde - Meadowbank","$150-$299 ($7,800-$15,599)",929
"Persons Place of Usual Residence","West Ryde - Meadowbank","$300-$399 ($15,600-$20,799)",999
"Persons Place of Usual Residence","West Ryde - Meadowbank","$400-$499 ($20,800-$25,999)",968
"Persons Place of Usual Residence","West Ryde - Meadowbank","$500-$649 ($26,000-$33,799)",986
"Persons Place of Usual Residence","West Ryde - Meadowbank","$650-$799 ($33,800-$41,599)",1127
"Persons Place of Usual Residence","West Ryde - Meadowbank","$800-$999 ($41,600-$51,999)",1360
"Persons Place of Usual Residence","West Ryde - Meadowbank","$1,000-$1,249 ($52,000-$64,999)",1669
"Persons Place of Usual Residence","West Ryde - Meadowbank","$1,250-$1,499 ($65,000-$77,999)",1187
"Persons Place of Usual Residence","West Ryde - Meadowbank","$1,500-$1,749 ($78,000-$90,999)",1046
"Persons Place of Usual Residence","West Ryde - Meadowbank","$1,750-$1,999 ($91,000-$103,999)",771
"Persons Place of Usual Residence","West Ryde - Meadowbank","$2,000-$2,999 ($104,000-$155,999)",1145
"Persons Place of Usual Residence","West Ryde - Meadowbank","$3,000 or more ($156,000 or more)",525
"Persons Place of Usual Residence","West Ryde - Meadowbank","Not stated",773
"Persons Place of Usual Residence","West Ryde - Meadowbank","Not applicable",3112
"Persons Place of Usual Residence","West Ryde - Meadowbank","Total",19375
"Persons Place of Usual Residence","Putney","Negative income",12
"Persons Place of Usual Residence","Putney","Nil income",373
"Persons Place of Usual Residence","Putney","$1-$149 ($1-$7,799)",153
"Persons Place of Usual Residence","Putney","$150-$299 ($7,800-$15,599)",185
"Persons Place of Usual Residence","Putney","$300-$399 ($15,600-$20,799)",193
"Persons Place of Usual Residence","Putney","$400-$499 ($20,800-$25,999)",184
"Persons Place of Usual Residence","Putney","$500-$649 ($26,000-$33,799)",206
"Persons Place of Usual Residence","Putney","$650-$799 ($33,800-$41,599)",189
"Persons Place of Usual Residence","Putney","$800-$999 ($41,600-$51,999)",232
"Persons Place of Usual Residence","Putney","$1,000-$1,249 ($52,000-$64,999)",275
"Persons Place of Usual Residence","Putney","$1,250-$1,499 ($65,000-$77,999)",201
"Persons Place of Usual Residence","Putney","$1,500-$1,749 ($78,000-$90,999)",195
"Persons Place of Usual Residence","Putney","$1,750-$1,999 ($91,000-$103,999)",156
"Persons Place of Usual Residence","Putney","$2,000-$2,999 ($104,000-$155,999)",252
"Persons Place of Usual Residence","Putney","$3,000 or more ($156,000 or more)",336
"Persons Place of Usual Residence","Putney","Not stated",182
"Persons Place of Usual Residence","Putney","Not applicable",809
"Persons Place of Usual Residence","Putney","Total",4143
"Persons Place of Usual Residence","Ryde","Negative income",119
"Persons Place of Usual Residence","Ryde","Nil income",2679
"Persons Place of Usual Residence","Ryde","$1-$149 ($1-$7,799)",830
"Persons Place of Usual Residence","Ryde","$150-$299 ($7,800-$15,599)",1357
"Persons Place of Usual Residence","Ryde","$300-$399 ($15,600-$20,799)",1521
"Persons Place of Usual Residence","Ryde","$400-$499 ($20,800-$25,999)",1483
"Persons Place of Usual Residence","Ryde","$500-$649 ($26,000-$33,799)",1398
"Persons Place of Usual Residence","Ryde","$650-$799 ($33,800-$41,599)",1537
"Persons Place of Usual Residence","Ryde","$800-$999 ($41,600-$51,999)",1823
"Persons Place of Usual Residence","Ryde","$1,000-$1,249 ($52,000-$64,999)",2076
"Persons Place of Usual Residence","Ryde","$1,250-$1,499 ($65,000-$77,999)",1438
"Persons Place of Usual Residence","Ryde","$1,500-$1,749 ($78,000-$90,999)",1269
"Persons Place of Usual Residence","Ryde","$1,750-$1,999 ($91,000-$103,999)",961
"Persons Place of Usual Residence","Ryde","$2,000-$2,999 ($104,000-$155,999)",1534
"Persons Place of Usual Residence","Ryde","$3,000 or more ($156,000 or more)",903
"Persons Place of Usual Residence","Ryde","Not stated",1666
"Persons Place of Usual Residence","Ryde","Not applicable",4580
"Persons Place of Usual Residence","Ryde","Total",27174
"Persons Place of Usual Residence","Ashcroft - Busby - Miller","Negative income",124
"Persons Place of Usual Residence","Ashcroft - Busby - Miller","Nil income",1476
"Persons Place of Usual Residence","Ashcroft - Busby - Miller","$1-$149 ($1-$7,799)",571
"Persons Place of Usual Residence","Ashcroft - Busby - Miller","$150-$299 ($7,800-$15,599)",1608
"Persons Place of Usual Residence","Ashcroft - Busby - Miller","$300-$399 ($15,600-$20,799)",1760
"Persons Place of Usual Residence","Ashcroft - Busby - Miller","$400-$499 ($20,800-$25,999)",1351
"Persons Place of Usual Residence","Ashcroft - Busby - Miller","$500-$649 ($26,000-$33,799)",937
"Persons Place of Usual Residence","Ashcroft - Busby - Miller","$650-$799 ($33,800-$41,599)",1010
"Persons Place of Usual Residence","Ashcroft - Busby - Miller","$800-$999 ($41,600-$51,999)",1003
"Persons Place of Usual Residence","Ashcroft - Busby - Miller","$1,000-$1,249 ($52,000-$64,999)",731
"Persons Place of Usual Residence","Ashcroft - Busby - Miller","$1,250-$1,499 ($65,000-$77,999)",338
"Persons Place of Usual Residence","Ashcroft - Busby - Miller","$1,500-$1,749 ($78,000-$90,999)",201
"Persons Place of Usual Residence","Ashcroft - Busby - Miller","$1,750-$1,999 ($91,000-$103,999)",99
"Persons Place of Usual Residence","Ashcroft - Busby - Miller","$2,000-$2,999 ($104,000-$155,999)",93
"Persons Place of Usual Residence","Ashcroft - Busby - Miller","$3,000 or more ($156,000 or more)",60
"Persons Place of Usual Residence","Ashcroft - Busby - Miller","Not stated",1786
"Persons Place of Usual Residence","Ashcroft - Busby - Miller","Not applicable",4198
"Persons Place of Usual Residence","Ashcroft - Busby - Miller","Total",17335
"Persons Place of Usual Residence","Austral - Greendale","Negative income",65
"Persons Place of Usual Residence","Austral - Greendale","Nil income",792
"Persons Place of Usual Residence","Austral - Greendale","$1-$149 ($1-$7,799)",277
"Persons Place of Usual Residence","Austral - Greendale","$150-$299 ($7,800-$15,599)",496
"Persons Place of Usual Residence","Austral - Greendale","$300-$399 ($15,600-$20,799)",770
"Persons Place of Usual Residence","Austral - Greendale","$400-$499 ($20,800-$25,999)",572
"Persons Place of Usual Residence","Austral - Greendale","$500-$649 ($26,000-$33,799)",565
"Persons Place of Usual Residence","Austral - Greendale","$650-$799 ($33,800-$41,599)",561
"Persons Place of Usual Residence","Austral - Greendale","$800-$999 ($41,600-$51,999)",644
"Persons Place of Usual Residence","Austral - Greendale","$1,000-$1,249 ($52,000-$64,999)",576
"Persons Place of Usual Residence","Austral - Greendale","$1,250-$1,499 ($65,000-$77,999)",372
"Persons Place of Usual Residence","Austral - Greendale","$1,500-$1,749 ($78,000-$90,999)",303
"Persons Place of Usual Residence","Austral - Greendale","$1,750-$1,999 ($91,000-$103,999)",149
"Persons Place of Usual Residence","Austral - Greendale","$2,000-$2,999 ($104,000-$155,999)",202
"Persons Place of Usual Residence","Austral - Greendale","$3,000 or more ($156,000 or more)",89
"Persons Place of Usual Residence","Austral - Greendale","Not stated",826
"Persons Place of Usual Residence","Austral - Greendale","Not applicable",1655
"Persons Place of Usual Residence","Austral - Greendale","Total",8918
"Persons Place of Usual Residence","Cobbitty - Leppington","Negative income",58
"Persons Place of Usual Residence","Cobbitty - Leppington","Nil income",1234
"Persons Place of Usual Residence","Cobbitty - Leppington","$1-$149 ($1-$7,799)",418
"Persons Place of Usual Residence","Cobbitty - Leppington","$150-$299 ($7,800-$15,599)",658
"Persons Place of Usual Residence","Cobbitty - Leppington","$300-$399 ($15,600-$20,799)",851
"Persons Place of Usual Residence","Cobbitty - Leppington","$400-$499 ($20,800-$25,999)",790
"Persons Place of Usual Residence","Cobbitty - Leppington","$500-$649 ($26,000-$33,799)",891
"Persons Place of Usual Residence","Cobbitty - Leppington","$650-$799 ($33,800-$41,599)",1026
"Persons Place of Usual Residence","Cobbitty - Leppington","$800-$999 ($41,600-$51,999)",1250
"Persons Place of Usual Residence","Cobbitty - Leppington","$1,000-$1,249 ($52,000-$64,999)",1507
"Persons Place of Usual Residence","Cobbitty - Leppington","$1,250-$1,499 ($65,000-$77,999)",1142
"Persons Place of Usual Residence","Cobbitty - Leppington","$1,500-$1,749 ($78,000-$90,999)",915
"Persons Place of Usual Residence","Cobbitty - Leppington","$1,750-$1,999 ($91,000-$103,999)",614
"Persons Place of Usual Residence","Cobbitty - Leppington","$2,000-$2,999 ($104,000-$155,999)",747
"Persons Place of Usual Residence","Cobbitty - Leppington","$3,000 or more ($156,000 or more)",298
"Persons Place of Usual Residence","Cobbitty - Leppington","Not stated",1234
"Persons Place of Usual Residence","Cobbitty - Leppington","Not applicable",4255
"Persons Place of Usual Residence","Cobbitty - Leppington","Total",17890
"Persons Place of Usual Residence","Badgerys Creek","Negative income",0
"Persons Place of Usual Residence","Badgerys Creek","Nil income",4
"Persons Place of Usual Residence","Badgerys Creek","$1-$149 ($1-$7,799)",0
"Persons Place of Usual Residence","Badgerys Creek","$150-$299 ($7,800-$15,599)",0
"Persons Place of Usual Residence","Badgerys Creek","$300-$399 ($15,600-$20,799)",0
"Persons Place of Usual Residence","Badgerys Creek","$400-$499 ($20,800-$25,999)",4
"Persons Place of Usual Residence","Badgerys Creek","$500-$649 ($26,000-$33,799)",8
"Persons Place of Usual Residence","Badgerys Creek","$650-$799 ($33,800-$41,599)",0
"Persons Place of Usual Residence","Badgerys Creek","$800-$999 ($41,600-$51,999)",11
"Persons Place of Usual Residence","Badgerys Creek","$1,000-$1,249 ($52,000-$64,999)",3
"Persons Place of Usual Residence","Badgerys Creek","$1,250-$1,499 ($65,000-$77,999)",0
"Persons Place of Usual Residence","Badgerys Creek","$1,500-$1,749 ($78,000-$90,999)",0
"Persons Place of Usual Residence","Badgerys Creek","$1,750-$1,999 ($91,000-$103,999)",0
